Tiempo Sistema,Bar Trend,Next Record,Barometer,Inside Temperature,Inside Humidity,Outside Temperature,Wind Speed,10 Min Avg Wind Speed,Wind Direction,Extra Temperatures,Soil Temperatures,Leaf Temperatures,Outside Humidity,Extra Humidties,Rain Rate,UV,Solar Radiation,Storm Rain,Start Date of current Storm,Day Rain,Month Rain,Year Rain,Day ET,Month ET,Year ET,Soil Moistures,Leaf Wetnesses,Inside Alarms,Rain Alarms,Outside Alarms,Extra Temp/Hum Alarms,Soil & Leaf Alarms,Transmitter Battery Status,Console Battery Voltage,Forecast Icons,Forecast Rule number,Time of Sunrise,Time of Sunset,<LF> = 0x0A,<CR> = 0x0D,CRC
2020-01-19 00:51:01,O,979,29870,704,59,636,0,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,37295
2020-01-19 00:52:00,O,980,29870,704,59,635,1,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,32431
2020-01-19 00:53:00,O,981,29871,704,59,634,1,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,60536
2020-01-19 00:54:00,O,982,29870,703,59,632,2,0,263,65535,65535,65535,79,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,51082
2020-01-19 00:55:00,O,983,29870,702,59,630,1,0,263,65535,65535,65535,80,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,64015
2020-01-19 00:56:00,O,984,29874,702,59,627,1,0,263,65535,65535,65535,80,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,17409
2020-01-19 00:57:00,O,985,29874,701,59,625,1,1,265,65535,65535,65535,80,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,48194
2020-01-19 00:58:01,O,986,29874,702,59,623,1,1,28,65535,65535,65535,81,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,24654
2020-01-19 00:59:00,O,987,29874,701,59,621,1,1,28,65535,65535,65535,81,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,50829
2020-01-19 01:00:00,O,988,29875,700,59,619,0,1,28,65535,65535,65535,81,65535,0,0,0,0,65535,0,17,6465,71,235,235,65535,65535,0,0,0,0,0,0,818,6,45,616,1805,10,13,56615
